"State.Code","County.Code","Latitude","Longitude","Datum","Sample.Duration","Metric.Used","Units.of.Measure","Observation.Count","Observation.Percent","Arithmetic.Mean","Arithmetic.Standard.Dev","X50th.Percentile","GEOID","total_population","total_no_vehicle","total_carpool_vehicle","total_private_vehicle","total_public_transit","ppt","tmax","tmin","tmean"
"06","013",37.743649,-121.934188,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8236,94,13.404507,8.010197,12.8,"06013",1142251,10454,62385,367467,59068,645.976867675781,22.2313995361328,8.57660007476807,15.4038000106812
"06","019",36.705474,-119.741332,"NAD83","1 HOUR","Daily Maximum 1-hour average","Parts per billion",5693,65,20.816935,8.101239,19.5,"06019",984521,10622,48171,310668,4408,350.028900146484,25.2467994689941,11.1778001785278,18.2120990753174
"06","019",36.78538,-119.77321,"NAD83","1 HOUR","Daily Maximum 1-hour average","Parts per billion",7656,87,20.339759,12.058808,18.8,"06019",984521,10622,48171,310668,4408,323.522888183594,25.2611999511719,11.3341999053955,18.2975997924805
"06","019",36.841592,-119.874739,"NAD83","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8285,95,14.326997,7.060339,11.9,"06019",984521,10622,48171,310668,4408,334.996002197266,25.2383995056152,10.611499786377,17.9247989654541
"06","019",36.710833,-119.7775,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8335,95,33.65376,11.365835,31.6,"06019",984521,10622,48171,310668,4408,338.772979736328,25.1420001983643,11.0342998504639,18.0879993438721
"06","019",36.597442,-119.503659,"NAD83","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8274,94,12.748199,5.823611,11.7,"06019",984521,10622,48171,310668,4408,322.707977294922,24.7995986938477,9.91370010375977,17.3564987182617
"06","019",36.819449,-119.716433,"NAD83","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8114,93,18.599433,11.591712,15.2,"06019",984521,10622,48171,310668,4408,375.345977783203,25.2779998779297,11.4542999267578,18.3661003112793
"06","023",40.77678,-124.17949,"NAD83","1 HOUR","Daily Maximum 1-hour average","Parts per billion",7727,88,5.724,4.219543,4.3,"06023",135940,1688,6340,42418,1063,1171.53002929688,15.9024000167847,8.0826997756958,11.9924001693726
"06","025",32.67618,-115.48307,"NAD83","1 HOUR","Daily Maximum 1-hour average","Parts per billion",7974,91,24.651603,11.752434,24.8,"06025",180701,1198,5324,47938,555,147.864990234375,30.0257987976074,14.9693994522095,22.4974002838135
"06","025",32.79222,-115.56306,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",4712,54,14.75049,7.047387,14.9,"06025",180701,1198,5324,47938,555,144.532897949219,30.0504989624023,15.1577997207642,22.6040000915527
"06","029",35.345607,-118.851825,"NAD83","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8295,95,14.963056,6.314915,14.5,"06029",887641,8388,40705,271759,2760,327.488006591797,25.2811985015869,11.1430997848511,18.2118988037109
"06","029",35.356615,-119.062613,"NAD83","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8345,95,26.739722,10.707195,25.3,"06029",887641,8388,40705,271759,2760,267.573883056641,25.2993984222412,11.7390995025635,18.5191993713379
"06","029",35.331612,-118.999961,"NAD83","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8261,94,26.648619,10.152085,24.8,"06029",887641,8388,40705,271759,2760,267.212890625,25.118200302124,11.7884998321533,18.4531002044678
"06","029",35.376953,-119.043889,"NAD83","1 HOUR","Daily Maximum 1-hour average","Parts per billion",6769,77,34.215412,9.869771,32.6,"06029",887641,8388,40705,271759,2760,263.143981933594,25.3657989501953,11.9723997116089,18.6688995361328
"06","029",35.503587,-119.272606,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8361,95,19.155679,7.373457,18.6,"06029",887641,8388,40705,271759,2760,279.244903564453,25.0952987670898,10.477499961853,17.7861995697021
"06","031",36.31567,-119.643447,"NAD83","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8099,92,18.630114,10.989599,15.4,"06031",150691,1262,8180,43737,129,262.427978515625,25.5343990325928,10.1784000396729,17.8563003540039
"06","037",34.1365,-117.92391,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8682,99,25.380495,10.673374,23.8,"06037",10081570,185537,456235,3560471,279730,730.197875976562,25.4594993591309,12.2739992141724,18.8666000366211
"06","037",34.14435,-117.85036,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8520,97,16.930337,7.918157,15,"06037",10081570,185537,456235,3560471,279730,773.60498046875,24.236499786377,11.8155994415283,18.025899887085
"06","037",34.05111,-118.45636,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8652,99,21.055342,10.357015,21,"06037",10081570,185537,456235,3560471,279730,611.943969726562,21.1115989685059,13.3498992919922,17.2306995391846
"06","037",34.06659,-118.22688,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8623,98,31.346961,11.482942,30.3,"06037",10081570,185537,456235,3560471,279730,639.662902832031,24.3868999481201,12.874400138855,18.6304988861084
"06","037",34.06659,-118.22688,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",5045,58,33.084834,12.525314,32.6,"06037",10081570,185537,456235,3560471,279730,639.662902832031,24.3868999481201,12.874400138855,18.6304988861084
"06","037",34.19925,-118.53276,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8653,99,22.250138,10.257956,21.9,"06037",10081570,185537,456235,3560471,279730,580.881896972656,25.3657989501953,11.4005994796753,18.3830986022949
"06","037",33.901389,-118.205,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8459,97,26.510826,12.051257,25.9,"06037",10081570,185537,456235,3560471,279730,542.885986328125,23.187198638916,13.4834995269775,18.3351993560791
"06","037",34.01029,-118.0685,"NAD83","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8620,98,30.177994,11.477541,29.1,"06037",10081570,185537,456235,3560471,279730,633.935974121094,24.414400100708,13.4378995895386,18.9260997772217
"06","037",34.06703,-117.7514,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8680,99,31.961433,12.271336,31.4,"06037",10081570,185537,456235,3560471,279730,668.615966796875,24.1033000946045,11.5949993133545,17.849100112915
"06","037",34.1326,-118.1272,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8519,97,24.345787,11.18733,21.9,"06037",10081570,185537,456235,3560471,279730,728.053955078125,24.7339992523193,12.0865993499756,18.4102001190186
"06","037",33.8025,-118.22,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8088,92,29.147493,11.579507,28.2,"06037",10081570,185537,456235,3560471,279730,529.265014648438,22.334400177002,13.4745998382568,17.9043998718262
"06","037",33.859662,-118.200707,"NAD83","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8677,99,39.400829,15.967988,39.1,"06037",10081570,185537,456235,3560471,279730,537.487915039062,23.0494995117188,13.4724998474121,18.260799407959
"06","037",33.95507,-118.43049,"NAD83","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8557,98,23.107887,12.842331,20.9,"06037",10081570,185537,456235,3560471,279730,522.185974121094,21.0559997558594,13.7493000030518,17.4025001525879
"06","037",34.38344,-118.5284,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8394,96,19.122,7.472789,18.9,"06037",10081570,185537,456235,3560471,279730,597.431884765625,23.8668003082275,10.9689998626709,17.4176998138428
"06","037",34.669739,-118.130511,"NAD83","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8204,94,20.674716,10.694401,21,"06037",10081570,185537,456235,3560471,279730,286.259887695312,23.9463996887207,8.37930011749268,16.1625995635986
"06","039",36.867125,-120.010158,"NAD83","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8179,93,12.476685,6.327596,11.1,"06039",155433,849,7578,42077,264,351.713897705078,25.080099105835,9.80770015716553,17.4437999725342
"06","041",37.97231,-122.520004,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8047,92,16.77937,9.673671,14.7,"06041",259943,2101,10537,82136,12346,1356.77392578125,19.4056987762451,9.42689990997314,14.4161996841431
"06","047",37.281853,-120.433671,"NAD83","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8282,95,14.831667,7.235925,13.9,"06047",271382,2276,9494,79793,1177,373.599884033203,24.4004001617432,8.99599933624268,16.6979999542236
"06","053",36.694261,-121.623271,"NAD83","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8611,98,10.334247,7.123561,9,"06053",433410,3118,19646,136038,3006,483.156982421875,19.9696998596191,9.54249954223633,14.7558994293213
"06","055",38.278849,-122.275024,"NAD83","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8191,94,11.747458,6.978409,11.3,"06055",139623,1245,7147,52449,1201,878.114868164062,22.4837989807129,8.6392993927002,15.5613994598389
"06","059",33.83062,-117.93845,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8706,99,24.205205,13.370878,23.7,"06059",3168044,27560,150029,1223382,30245,531.782897949219,23.8858985900879,13.1970996856689,18.5413990020752
"06","059",33.819305,-117.918759,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8684,99,28.915235,9.251935,27,"06059",3168044,27560,150029,1223382,30245,555.562866210938,23.9499988555908,13.2430992126465,18.596399307251
"06","059",33.92513,-117.95264,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8537,97,21.940449,10.65834,21.4,"06059",3168044,27560,150029,1223382,30245,587.5419921875,24.5458984375,12.8734998703003,18.7094993591309
"06","061",38.74643,-121.26498,"NAD83","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8306,95,16.117827,10.869532,13.8,"06061",385512,2203,12085,139680,1906,767.2548828125,23.8269996643066,9.61399936676025,16.7203998565674
"06","065",33.447867,-117.088649,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",4318,49,6.682609,3.936743,5.8,"06065",2411439,14575,119702,790611,12639,602.037902832031,24.066499710083,10.7656993865967,17.4160003662109
"06","065",33.92086,-116.85841,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8646,99,21.664624,11.066248,21.2,"06065",2411439,14575,119702,790611,12639,637.081970214844,23.7169990539551,10.089599609375,16.9030990600586
"06","065",33.944713,-116.830074,"NAD83","1 HOUR","Daily Maximum 1-hour average","Parts per billion",4662,53,7.120103,4.045871,6.5,"06065",2411439,14575,119702,790611,12639,696.268981933594,22.9430999755859,10.1424999237061,16.5426998138428
"06","065",33.85275,-116.54101,"WGS84","1 HOUR","Daily Maximum 1-hour average","Parts per billion",8569,98,17.551253,7.345556,17.3,"06065",2411439,14575,119702,790611,12639,275.076995849609,30.3078994750977,16.23219871521,23.2698001861572
